PMS,RA,Dec,B,R,K
CIDA-13  ,4:39:15.86 ,30:32:07.4 ,17.81 ,15.76 ,11.83
FFTauA  ,4:35:20.89 ,22:54:24.2 ,16.63 ,12.82 ,8.93
VYTauA  ,4:39:17.41 ,22:47:53.3 ,14.70 ,13.03 ,8.96
FFTauB  ,4:35:20.89 ,22:54:24.2 ,16.63 ,12.82 ,8.93
VYTauB  ,4:39:17.41 ,22:47:53.3 ,14.70 ,13.03 ,8.96
HBC412A  ,4:35:24.10 ,17:51:41.0 ,,,9.10
LkCa15  ,4:39:17.79 ,22:21:03.4 ,12.54 ,11.43 ,8.16
HBC412B  ,4:35:24.10 ,17:51:41.0 ,,,9.10
GNTauA  ,4:39:20.90 ,25:45:02.1 ,17.34 ,13.76 ,8.06
DNTau  ,4:35:27.37 ,24:14:58.9 ,13.20 ,11.44 ,8.02
GNTauB  ,4:39:20.90 ,25:45:02.1 ,17.34 ,13.76 ,8.06
I04325+2402 ,4:35:35.39 ,24:08:19.4 ,,,11.60
J04393364p2359212,4:39:33.64 ,23:59:21.1 ,18.28 ,15.72 ,10.28
CoKuTau3A ,4:35:40.93 ,24:11:08.7 ,18.09 ,14.58 ,8.41
I04365p2535 ,4:39:35.19 ,25:41:44.7 ,,,10.84
CoKuTau3B ,4:35:40.93 ,24:11:08.7 ,18.09 ,14.58 ,8.41
ITG 15  ,4:39:44.88 ,26:01:52.7 ,20.34 ,16.62 ,8.95
KPNO-8  ,4:35:41.84 ,22:34:11.6 ,20.41 ,18.04 ,11.99
CFHT-4  ,4:39:47.48 ,26:01:40.7 ,,19.09 ,10.33
XEST08-033 ,4:35:42.03 ,22:52:22.6 ,19.37 ,16.13 ,10.00
I04368p2557 ,4:39:53.89 ,26:03:11.0 ,,,12.00
J04354526+2737130,4:35:45.26 ,27:37:13.1 ,,19.43 ,13.71
IC2087IRS ,4:39:55.74 ,25:45:02.0 ,0.00 ,19.15 ,6.28
HQTau  ,4:35:47.33 ,22:50:21.6 ,13.04 ,11.06 ,7.14
J04400067p2358211,4:40:00.67 ,23:58:21.1 ,19.45 ,17.35 ,11.48
KPNO-15  ,4:35:51.10 ,22:52:40.1 ,17.78 ,15.24 ,10.01
CFHT-17  ,4:40:01.74 ,25:56:29.2 ,,,10.76
I04370+2559 ,4:40:08.14 ,26:05:26.54,,19.30 ,9.10
DSTau  ,4:47:48.59 ,29:25:11.2 ,11.67 ,11.00 ,8.04
J04403979+2519061,4:40:39.79 ,25:19:06.1 ,20.21 ,17.87 ,10.24
J04484189+1703374,4:48:41.90 ,17:03:37.4 ,,19.64 ,12.49
JH223  ,4:40:49.50 ,25:51:19.1 ,16.62 ,14.26 ,9.49
UYAurA  ,4:51:47.37 ,30:47:13.4 ,12.47 ,11.35 ,7.24
