_RAJ2000,_DEJ2000,GaiaDR3,SigMA,stability,Dist,e_Dist,E_Dist,X,e_X,Y,e_Y,Z,e_Z,E_X,E_Y,E_Z,VtRA,e_VtRA,VtDE,e_VtDE,E_VtRA,E_VtDE,VtRALSR,VtDELSR,RV,_RA,_DE
242.1195161,-21.6223144,6243694052412741120,3,100.0,141.31,0.936308,0.968595,129.987,0.86128,-17.597,0.120615,52.5581,0.348246,0.89098,0.116595,0.360255,-7.145,0.0613,-15.81,0.11249,0.06427,0.1133,-0.147,-3.679,-6.643,242.11952,-21.62231
241.7756167,-21.69456,6243699000215459584,3,100.0,134.542,0.993442,1.025532,123.516,0.912023,-17.366,0.132371,50.4374,0.372423,0.941483,0.128229,0.384453,-7.279,0.07413,-15.86,0.12232,0.06551,0.12519,-0.19,-3.733,-6.579,241.77562,-21.69456
241.7762322,-21.6950653,6243699000215459712,3,98.8,132.01,0.989894,0.971775,121.192,0.908771,-17.039,0.125432,49.4866,0.371081,0.892136,0.127771,0.364288,-6.673,0.07161,-15.82,0.12017,0.06847,0.11678,0.4159,-3.692,-6.578,241.77623,-21.69507
241.8505647,-21.5562861,6243709411215896320,2,97.3,140.316,0.373301,0.334343,128.825,0.342731,-17.746,0.042285,52.7038,0.140215,0.306963,0.047213,0.125582,-5.727,0.02,-17.61,0.04578,0.02053,0.043,1.3416,-5.51,-7.311,241.85056,-21.55629
241.7898217,-21.4638808,6243712366149470336,9,7.4,96.0731,2.106405,2.191663,88.1465,1.932614,-12.095,0.27592,36.2484,0.794746,2.010838,0.265186,0.826914,-11.59,0.30117,-15.38,0.37052,0.29774,0.35334,-4.502,-3.304,-5.565,241.78982,-21.46388
242.0865594,-21.5232964,6243719100662064000,3,100.0,141.803,0.807574,0.777139,130.375,0.742488,-17.522,0.096029,52.9491,0.301546,0.714505,0.09979,0.290182,-7.088,0.05355,-15.96,0.09103,0.05186,0.09575,-0.08,-3.86,-6.667,242.08656,-21.5233
242.0175356,-21.4888686,6243731848125035520,3,100.0,140.804,0.46836,0.479369,129.386,0.430378,-17.437,0.059364,52.7362,0.175417,0.440495,0.058,0.179541,-6.933,0.02883,-15.95,0.05576,0.02942,0.05337,0.0923,-3.853,-6.668,242.01754,-21.48887
241.9603258,-21.4223531,6243735421538110464,3,100.0,144.54,1.533214,1.66142,132.744,1.408081,-17.86,0.205287,54.3329,0.576337,1.525823,0.189446,0.62453,-7.315,0.10647,-15.94,0.17951,0.0987,0.17753,-0.275,-3.858,-6.679,241.96033,-21.42235
241.7999703,-21.3965861,6243759748232680832,4,100.0,153.61,0.814098,0.819728,140.917,0.746826,-19.187,0.102387,58.0553,0.307679,0.751991,0.101684,0.309807,-6.671,0.04671,-16.25,0.09664,0.04775,0.09269,0.4108,-4.185,-6.903,241.79997,-21.39659
241.6191461,-21.3583775,6243763184206780288,3,100.0,140.617,0.44695,0.486399,128.832,0.409488,-17.76,0.061432,53.4816,0.16999,0.445632,0.05645,0.184994,-7.349,0.03448,-15.59,0.05404,0.0293,0.05088,-0.219,-3.536,-6.653,241.61915,-21.35838
241.3661039,-21.2642986,6243774351121245184,4,11.5,171.39,2.055091,2.137971,156.719,1.879179,-21.891,0.273072,65.836,0.789423,1.954964,0.262486,0.821259,-7.884,0.11916,-15.94,0.19627,0.11323,0.18571,-0.688,-3.923,-6.892,241.3661,-21.2643
